date,county,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,sunrise,sunset,uv_index_max,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max
2024-11-10 05:00:00+00:00,Barnstable,41.7003,-70.3002,51.0,13.315,-0.285,0,0,3.15,15.0,18.709612,48.239998
2024-11-11 05:00:00+00:00,Barnstable,41.7003,-70.3002,61.0,17.015001,9.514999,0,0,1.9,81.0,29.30409,65.520004
2024-11-12 05:00:00+00:00,Barnstable,41.7003,-70.3002,3.0,9.865,5.9435,0,0,3.25,9.0,45.07913,54.0
2024-11-13 05:00:00+00:00,Barnstable,41.7003,-70.3002,2.0,6.5435004,4.5435004,0,0,3.2,5.0,39.239998,39.96
2024-11-14 05:00:00+00:00,Barnstable,41.7003,-70.3002,3.0,6.2935004,5.3935003,0,0,2.4,16.0,20.65848,29.88
2024-11-15 05:00:00+00:00,Barnstable,41.7003,-70.3002,3.0,11.4935,4.0935,0,0,3.0,31.0,26.576681,39.96
2024-11-16 05:00:00+00:00,Barnstable,41.7003,-70.3002,3.0,10.8435,7.3935003,0,0,2.9,31.0,33.697998,43.199997
