date,county,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,sunrise,sunset,uv_index_max,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max
2024-11-10 05:00:00+00:00,Middlesex,42.4672,-71.2874,53.0,14.238999,-3.361,0,0,3.15,56.0,18.58451,33.48
2024-11-11 05:00:00+00:00,Middlesex,42.4672,-71.2874,61.0,17.639,8.839,0,0,3.2,74.0,23.933908,54.0
2024-11-12 05:00:00+00:00,Middlesex,42.4672,-71.2874,3.0,9.2345,1.5845,0,0,3.1,9.0,26.282465,55.079998
2024-11-13 05:00:00+00:00,Middlesex,42.4672,-71.2874,3.0,7.4344997,-1.4655,0,0,3.1,0.0,15.463246,33.48
2024-11-14 05:00:00+00:00,Middlesex,42.4672,-71.2874,3.0,5.1345,-1.6155001,0,0,2.15,10.0,10.829959,20.519999
2024-11-15 05:00:00+00:00,Middlesex,42.4672,-71.2874,3.0,12.2845,-1.6155001,0,0,2.85,21.0,15.484185,42.12
2024-11-16 05:00:00+00:00,Middlesex,42.4672,-71.2874,3.0,10.7845,5.0845,0,0,2.75,21.0,20.466246,44.639996
