date,county,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,sunrise,sunset,uv_index_max,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max
2024-11-10 05:00:00+00:00,Plymouth,41.988,-70.7528,53.0,13.7045,-0.99549997,0,0,3.15,40.0,18.875126,43.56
2024-11-11 05:00:00+00:00,Plymouth,41.988,-70.7528,63.0,17.2545,8.9045,0,0,2.0,75.0,22.66857,60.120003
2024-11-12 05:00:00+00:00,Plymouth,41.988,-70.7528,3.0,9.998,2.398,0,0,3.2,8.0,27.07669,49.32
2024-11-13 05:00:00+00:00,Plymouth,41.988,-70.7528,3.0,5.848,0.598,0,0,3.15,2.0,19.809813,35.28
2024-11-14 05:00:00+00:00,Plymouth,41.988,-70.7528,3.0,6.198,2.948,0,0,2.3,10.0,13.783817,28.44
2024-11-15 05:00:00+00:00,Plymouth,41.988,-70.7528,3.0,12.298,-0.402,0,0,2.95,25.0,16.93531,41.399998
2024-11-16 05:00:00+00:00,Plymouth,41.988,-70.7528,3.0,11.248,5.398,0,0,2.85,24.0,21.710716,43.92
