date,county,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,sunrise,sunset,uv_index_max,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max
2024-11-10 05:00:00+00:00,Dukes,41.4033,-70.6693,51.0,13.657001,0.257,0,0,3.2,13.0,19.130875,50.039997
2024-11-11 05:00:00+00:00,Dukes,41.4033,-70.6693,63.0,16.857,10.507,0,0,3.05,84.0,31.072817,73.439995
2024-11-12 05:00:00+00:00,Dukes,41.4033,-70.6693,3.0,11.057,3.8070002,0,0,3.25,7.0,33.851486,56.519997
2024-11-13 05:00:00+00:00,Dukes,41.4033,-70.6693,0.0,6.707,2.6069999,0,0,3.25,4.0,24.1388,34.92
2024-11-14 05:00:00+00:00,Dukes,41.4033,-70.6693,3.0,7.107,4.3069997,0,0,1.95,14.0,14.77755,23.039999
2024-11-15 05:00:00+00:00,Dukes,41.4033,-70.6693,3.0,11.107,2.9569998,0,0,3.0,28.0,26.072052,41.039997
2024-11-16 05:00:00+00:00,Dukes,41.4033,-70.6693,3.0,11.407001,7.0569997,0,0,2.9,28.0,29.5551,42.12
