date,county,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,sunrise,sunset,uv_index_max,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max
2024-11-10 05:00:00+00:00,Bristol,41.7938,-71.135,53.0,14.714999,-3.085,0,0,3.2,31.0,19.483284,45.36
2024-11-11 05:00:00+00:00,Bristol,41.7938,-71.135,63.0,17.765001,9.014999,0,0,2.5,70.0,24.063513,62.639996
2024-11-12 05:00:00+00:00,Bristol,41.7938,-71.135,2.0,11.1885,2.0885,0,0,3.2,7.0,25.630886,52.92
2024-11-13 05:00:00+00:00,Bristol,41.7938,-71.135,0.0,7.2885,-1.4115,0,0,3.2,1.0,15.459054,38.88
2024-11-14 05:00:00+00:00,Bristol,41.7938,-71.135,3.0,7.2885,-0.36150002,0,0,1.75,11.0,11.457958,20.519999
2024-11-15 05:00:00+00:00,Bristol,41.7938,-71.135,3.0,12.8885,-1.0615,0,0,2.95,21.0,17.227419,42.12
2024-11-16 05:00:00+00:00,Bristol,41.7938,-71.135,3.0,11.9385,5.5885,0,0,2.85,21.0,22.608458,43.92
