date,county,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,sunrise,sunset,uv_index_max,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max
2024-11-10 05:00:00+00:00,Essex,42.6334,-70.7829,55.0,13.9675,-2.8825,0,0,3.05,53.0,20.188908,46.8
2024-11-11 05:00:00+00:00,Essex,42.6334,-70.7829,61.0,17.4675,8.6675,0,0,3.15,80.0,24.27265,56.519997
2024-11-12 05:00:00+00:00,Essex,42.6334,-70.7829,3.0,9.139,0.33900002,0,0,3.05,13.0,28.019936,57.96
2024-11-13 05:00:00+00:00,Essex,42.6334,-70.7829,3.0,6.589,-3.3109999,0,0,3.05,0.0,13.70839,33.12
2024-11-14 05:00:00+00:00,Essex,42.6334,-70.7829,3.0,4.539,-0.611,0,0,2.3,12.0,14.20062,27.0
2024-11-15 05:00:00+00:00,Essex,42.6334,-70.7829,3.0,12.188999,-2.511,0,0,2.8,28.0,18.289274,43.199997
2024-11-16 05:00:00+00:00,Essex,42.6334,-70.7829,3.0,10.438999,4.989,0,0,2.75,28.0,25.63847,55.44
