date,county,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,sunrise,sunset,uv_index_max,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max
2024-11-10 05:00:00+00:00,Franklin,42.5795,-72.6151,53.0,13.6154995,-4.0845,0,0,3.0,60.0,17.555305,32.039997
2024-11-11 05:00:00+00:00,Franklin,42.5795,-72.6151,53.0,16.1655,7.6655,0,0,2.9,57.0,20.570463,43.199997
2024-11-12 05:00:00+00:00,Franklin,42.5795,-72.6151,2.0,8.7375,0.6875,0,0,3.1,12.0,25.38702,50.039997
2024-11-13 05:00:00+00:00,Franklin,42.5795,-72.6151,2.0,8.6875,-2.7125,0,0,3.05,0.0,13.556282,39.6
2024-11-14 05:00:00+00:00,Franklin,42.5795,-72.6151,3.0,6.4875,-1.8125,0,0,2.45,13.0,6.792466,9.36
2024-11-15 05:00:00+00:00,Franklin,42.5795,-72.6151,3.0,11.8875,-1.2625,0,0,2.85,15.0,13.363711,37.8
2024-11-16 05:00:00+00:00,Franklin,42.5795,-72.6151,3.0,10.9375,4.7875004,0,0,1.8,15.0,22.657131,45.719997
