date,county,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,sunrise,sunset,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,Year
2023-01-01 05:00:00+00:00,Barnstable,41.7003,-70.3002,51.0,56.327,40.397,0,0,33171.656,29331.67,2.5,2.5,0.047244094,0.047244094,0.0,0.0,3.0,,11.515661,25.278101,2023
2023-01-02 05:00:00+00:00,Barnstable,41.7003,-70.3002,3.0,49.037,34.817,0,0,33219.4,27479.656,2.45,2.5,0.0,0.0,0.0,0.0,0.0,,7.9089894,22.369999,2023
2023-01-03 05:00:00+00:00,Barnstable,41.7003,-70.3002,63.0,51.827,34.007,0,0,33271.305,3723.2573,0.45,2.5,0.2559055,0.2559055,0.0,0.0,2.0,,13.876615,26.1729,2023
2023-01-04 05:00:00+00:00,Barnstable,41.7003,-70.3002,61.0,51.107,43.907,0,0,33327.258,0.0,1.8,2.55,0.15354331,0.15354331,0.0,0.0,3.0,,9.683911,19.461899,2023
2023-01-05 05:00:00+00:00,Barnstable,41.7003,-70.3002,51.0,47.417,43.907,0,0,33387.125,0.0,0.8,2.55,0.031496063,0.031496063,0.0,0.0,2.0,,12.535187,23.9359,2023
2023-01-06 05:00:00+00:00,Barnstable,41.7003,-70.3002,61.0,44.177002,38.687,0,0,33450.785,0.0,0.5,2.4,0.15748031,0.15748031,0.0,0.0,4.0,,11.8561,21.9226,2023
2023-01-07 05:00:00+00:00,Barnstable,41.7003,-70.3002,3.0,42.557,34.637,0,0,33518.133,10832.26,2.25,2.4,0.0,0.0,0.0,0.0,0.0,,7.2590566,20.133,2023
2023-01-08 05:00:00+00:00,Barnstable,41.7003,-70.3002,3.0,35.267,28.877,0,0,33589.027,17777.105,2.55,2.55,0.0,0.0,0.0,0.0,0.0,,12.970742,26.620298,2023
2023-01-09 05:00:00+00:00,Barnstable,41.7003,-70.3002,3.0,40.397,30.407,0,0,33663.348,7044.5664,1.95,2.45,0.0,0.0,0.0,0.0,0.0,,6.843904,25.0544,2023
2023-01-10 05:00:00+00:00,Barnstable,41.7003,-70.3002,3.0,41.927002,31.307,0,0,33740.984,28713.254,2.6,2.6,0.0,0.0,0.0,0.0,0.0,,9.323219,24.8307,2023
2023-01-11 05:00:00+00:00,Barnstable,41.7003,-70.3002,3.0,38.057,31.757,0,0,33821.81,25117.586,1.75,2.55,0.0,0.0,0.0,0.0,0.0,,10.31206,17.6723,2023
2023-01-12 05:00:00+00:00,Barnstable,41.7003,-70.3002,53.0,47.417,32.747,0,0,33905.695,12096.702,2.15,2.6,0.04330709,0.04330709,0.0,0.0,2.0,,18.760149,33.3313,2023
2023-01-13 05:00:00+00:00,Barnstable,41.7003,-70.3002,65.0,53.987,45.617,0,0,33992.53,0.0,1.2,2.6,1.0708661,1.0708661,0.0,0.0,9.0,,21.813904,42.503,2023
2023-01-14 05:00:00+00:00,Barnstable,41.7003,-70.3002,61.0,43.367,35.897,0,0,34082.188,0.0,0.95,2.6,0.33070862,0.33070862,0.0,0.0,9.0,,22.704172,38.476402,2023
2023-01-15 05:00:00+00:00,Barnstable,41.7003,-70.3002,63.0,36.257,33.737,0,0,34174.555,0.0,0.65,2.65,1.0196849,1.0196849,0.0,0.0,17.0,,26.219702,46.977,2023
2023-01-16 05:00:00+00:00,Barnstable,41.7003,-70.3002,61.0,35.267,31.937,0,0,34269.504,0.0,1.0,2.7,0.30314958,0.30314958,0.0,0.0,10.0,,22.191446,39.594902,2023
2023-01-17 05:00:00+00:00,Barnstable,41.7003,-70.3002,3.0,43.277,30.947,0,0,34366.934,26984.252,2.8,2.8,0.0,0.0,0.0,0.0,0.0,,9.681327,24.8307,2023
2023-01-18 05:00:00+00:00,Barnstable,41.7003,-70.3002,3.0,49.037,36.527,0,0,34467.125,21600.0,2.4,2.75,0.0,0.0,0.0,0.0,0.0,,13.0783205,32.2128,2023
2023-01-19 05:00:00+00:00,Barnstable,41.7003,-70.3002,63.0,40.577,34.097,0,0,34571.082,11462.242,1.6,2.85,0.6259842,0.6259842,0.0,0.0,7.0,,10.1284485,28.8573,2023
2023-01-20 05:00:00+00:00,Barnstable,41.7003,-70.3002,65.0,42.287003,36.077,0,0,34678.69,0.0,0.5,2.7,1.2834643,1.2834643,0.0,0.0,16.0,,18.008892,34.8972,2023
2023-01-21 05:00:00+00:00,Barnstable,41.7003,-70.3002,3.0,36.257,31.307,0,0,34789.742,0.0,1.5,2.75,0.0,0.0,0.0,0.0,0.0,,10.485304,17.4486,2023
2023-01-22 05:00:00+00:00,Barnstable,41.7003,-70.3002,61.0,42.377,30.407,0,0,34904.047,3600.0,2.4,2.85,0.12598425,0.12598425,0.0,0.0,3.0,,10.485304,26.1729,2023
